叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
360全景/SVC,950,5,2,
3D眼镜,7.5,4,3,
3D立体果冻笔,9.8,6,1,
4g/5g上网设备,27.5635,2366,25,
AI设备,95.801653,163,10,
APP STORE充值,49.503311,534,2,
AV切换器,48,1,1,
BB煲,112.619375,35,7,
BB霜,36.75,269,81,
CC霜,23.485928,263,15,
CD播放机,198,15,8,
CD随身听,60,2,2,
CPU,846.45,4,3,
CPU主板套装,4119,3,3,
DHA/ARA/EPA,343.118182,60,17,
DIY/手工巧克力,19.771918,757,13,
DIY一体机,1700,6,5,
DIY仿真材料,19.9,127,52,
DIY兼容机,2973.76,169,58,
DIY工具,6.28642,110,17,
DIY模具,8.920392,5239,374,
DIY面膜工具,16.8,138,30,
DIY饰品套装,27.294101,2586,244,
EGT/麦角硫因,674,93,14,
HDMI线,24.21,37,16,
HID氙气灯,104,3,3,
HIV检测,15.647321,100,11,
IT/互联网,33.704889,1387,16,
IT类期刊订阅,12,1,1,
IT资格认证,32.50839,120,3,
KTV音响,134,14,8,
K歌/直播声卡套装,249.5,4,3,
LED,39.9,12,4,
LED光源,19.271471,1978,433,
LED射灯,109.666667,4,2,
LED设备,420,5,4,
MP3,164.169565,72,17,
MP3/MP4保护套,15.8,4,4,
MP3/MP4连接线,17.175,19,6,
MP4,80.5,6,5,
PC耐力板/阳光板,63.4,16,10,
PDA/掌上电脑,25.16,3,1,
PH计,39.6,10,6,
POP广告纸/爆炸贴,11.8,5,5,
PPR管,12.477778,196,95,
PVC管,15.167742,111,49,
RCA头,5,1,1,
T区护理,12.759259,1836,86,
T型棍/T型拐,22.727273,17,2,
T恤/Polo衫,38.587867,465641,56832,
UPS电源,21.8,2,1,
USB/快充插座,19.547778,102,35,
USB加湿器,51.440351,68,9,
USB吸尘器,19.341087,184,1,
USB多功能转换器,6.437695,356,50,
USB灯,21.60463,515,19,
USB烟灰缸,9.120192,116,9,
USB风扇,5.766257,5293,287,
USB驱蚊器,38.744545,27,4,
VGA切换器,18.9,1,1,
XR设备,1281.18898,64,4,
_条,19.124242,58,7,
_油用具,20.809009,523,95,
_饭/_面/_薯,47.276049,113,6,
ems微电流穿戴健身仪,364.5,34,5,
一体机,631.72,29,9,
一次性保鲜膜套/保鲜罩,12.704286,1018,61,
一次性勺子,9.59,50,29,
一次性叉子,7.434058,257,12,
一次性吸管,10.88678,122,21,
一次性塑杯,17.5575,1366,268,
一次性床品套件,17.915683,1152,56,
一次性手套,13.92349,3049,240,
一次性桌布,15.446154,303,96,
一次性毛巾/浴巾,18.130024,2237,170,
一次性汽车座椅保护套,12.552,11,4,
一次性汽车脚垫,40.466667,7,5,
一次性碗/碟/盘,17.9,133,45,
一次性筷子,10.234324,475,79,
一次性纸杯,16.847059,496,190,
一次性茶具,10.148854,192,27,
一次性袜子,19.8,3378,222,
一次性防护帽,8.996552,102,17,
一次性餐桌用品套装,10.947418,290,47,
一次性餐盒,21.746667,2919,500,
万向轮凳,7.583871,51,11,
万年红对联纸,9.5,9,8,
万用表,12.237037,48,13,
万能胶,24.7,48,9,
三七,119,16,11,
三元催化清洗剂,35.479848,268,3,
三宝扎,52.41691,781,2,
三明治,10.701705,135,15,
三明治机,57.166667,11,5,
三滤套装,98.35,1,1,
三节甩棍/伸缩棍,35.28952,172,24,
三轮推车,128,1,1,
三通/顶珠/隔珠,25.488462,265,87,
上弦器,28.58,1,1,
上水器,27.665,156,31,
下水器/移位器,45.71152,444,66,
下降器,480,1,1,
不锈钢材,8.896296,119,24,
专业英语四八级,17.17,1,1,
专业辞典,147.6,2,1,
专科治疗仪,1390,1,1,
专车专用座套,248,116,100,
专车专用脚垫,168,735,590,
世界军事,28.934661,122,5,
世界及各国经济概况,17,1,1,
世界名著,151.501435,1488,19,
世界政治,16.8,2,2,
世界文化,46,2,2,
世界行政区划图,24.4,1,1,
世界通史,14.684694,1211,8,
丝巾/披肩/头巾,26.046613,9902,1002,
丝瓜,13.356944,470,13,
丝瓜络玩具,17.8,8,3,
丝袜,18.555945,6557,757,
丝锥,19.99,46,33,
中医,15.252,76,20,
中医养生,12.2,129,10,
中国军事,8.708966,32,4,
中国古诗词,18.542791,173,16,
中国史,28.793126,715,46,
中国哲学,25.297576,222,35,
中国政治,16.890196,80,14,
中国文化/民俗,28.653846,190,14,
中国民俗,19.8,70,5,
中国现当代诗歌,19.85,13,3,
中国电信新号码套餐,39.9,1,1,
中国移动充值卡,28.179412,648,12,
中国结,15.833333,236,49,
中国联通充值卡,27.123116,684,13,
中国行政区划图,14.178571,25,11,
中国象棋,19.333333,50,22,
中国邮票,100.635806,60,8,
中国随笔/散文集,24.133333,21,12,
中央空调,10998,2,2,
中学教材,13.994615,62,37,
中学教辅,36.830319,6977,749,
中小幼师资培训,9.8,3,3,
中心冲,6.1,3,3,
中性笔,9.605281,48907,1463,
中筒袜,17.003364,27274,2932,
中网,103.333333,59,33,
中老年保健,20.37,18,3,
中轴,5.9,2,2,
串联积木,45.9,3,2,
临床医学,42.725,8,1,
丸滑组合,78.28504,5751,46,
丹参,36.137931,124,27,
主机/买断制游戏,48,32,15,
主板,588.67,6,5,
举重床/卧推器,111.7,4,2,
乌龙茶,47.848271,4033,516,
乐器周边产品,29.9,3,3,
乐器工具,8.133333,6,4,
乐器指甲,27,10,10,
乐器盒,78,4,4,
乐器罩,17.9,5,2,
乐器软件,74.875,10,2,
乐器连接线,35,9,4,
乒乓套胶/海绵/单胶片,92.623636,150,38,
乒乓底板,199,115,25,
乒乓球,20,41,25,
乒乓球台,573.333333,6,4,
乒乓球成品拍,49,55,37,
乒乓球挡板,45,1,1,
乒乓球盒,299,1,1,
乒乓球网架/网,34.14,5,2,
乒乓球训练器,17.113333,146,13,
乒乓球鞋,165,27,22,
乘用车轮胎,480,32,24,
九宫八卦牌,49.1,3,2,
九节鞭,17.44,4,4,
书架,12.878158,317,81,
书柜,330,15,12,
书桌书柜套装,149.05,2,2,
书法,93.666667,19,11,
书法/篆刻/字帖书籍,12.9,162,47,
书法/绘画,1225.23778,9,1,
书法用纸,20.925,302,97,
书法绘画学习套装,26.9,20,13,
书画毛毡垫,13.266667,50,28,
书皮,12.8,24,18,
书签,7.68,4,4,
书课包,50.402834,570,62,
乳液,63.894333,473,45,
乳牙刷,11.956316,1294,127,
乳糖酶,168.5175,32,1,
乳胶床垫,209.415,51,20,
乳腺贴,26.962769,1547,47,
乳铁蛋白/IDP,86.375,17,4,
乳霜纸,12.9325,858,68,
事业编/公务员培训,1354.43243,62,17,
二手一体机,1397,1,1,
二手主板,259,6,4,
二手修复品,1601.72607,314,3,
二手单反相机,3480,10,10,
二手台式机,1491,7,2,
二手图书,22.553209,211,53,
二手奢品服饰,699.5,84,40,
二手奢品珠宝,2924.2475,7,4,
二手奢品箱包,784.156863,93,14,
二手奢品腕表配件,156.625,11,2,
二手奢品进口腕表,2999.75,41,5,
二手奢品配饰,2630,3,3,
二手奢品鞋靴,2334.78571,27,10,
二手小家电,416,9,9,
二手平板电脑,1694.261,57,25,
二手平板电脑配件,566.333333,3,1,
二手影音电器配件,898.6,1,1,
二手手机,1499.75,917,239,
二手手机配件,74.159038,567,66,
二手拍照配件,29,4,3,
二手摄像机,820,1,1,
二手数码相机,2204.75676,60,15,
二手无人机,2288,9,7,
二手显卡,1530,3,3,
二手显示器,403.291667,61,17,
二手智能家居,32.76,50,8,
二手智能手环,198.571429,18,5,
二手智能手表,34.704545,300,44,
二手游戏机,1299,1,1,
二手硬盘,59.9,3,2,
二手笔记本电脑,590.197917,186,54,
二手笔记本配件,13.9,4,2,
二手组装电脑,1250,5,5,
二手耳机/耳麦,47.842857,107,36,
二手装机配件,279,2,2,
二手运动相机,1941,33,14,
二手键盘,177.333333,24,15,
二手镜头,1278,5,5,
二手音箱/音响,144.157143,155,21,
二手鼠标,57,50,21,
二次元服装,26,626,168,
二胡,79,4,2,
云台,1168.5,31,4,
云石机,258,1,1,
云石片,24.36,130,31,
云石胶,20.72,18,11,
互感器,28.73,1,1,
互联网产品运营/电商运营,15.833333,10,4,
五味子,18.555401,306,11,
五官用药,16.547959,1405,94,
五官用药(Rx),6.15,3,2,
五指毛桃茯苓茶,121.63125,47,11,
五谷养生营养品,60.622953,2099,90,
五金工具箱,19.6,349,111,
亚麻籽,75.924,109,10,
交换机,36.5,10,5,
交通/运输,35.52069,30,2,
交通反光背心,8.485714,12,5,
交通地图,8.85,9,4,
产后护理用品,44,473,82,
亲子装,24.642857,2840,512,
亲子车,261.966186,342,12,
人力资源,35.296944,36,1,
人参/园参及其制品,54.063707,1129,63,
人参果,24.572368,3104,101,
人文地理报纸期刊,59,1,1,
人造大理石,750,3,2,
人造皮草,132.9,4,3,
人际沟通,44.040138,293,4,
仙人掌果,6.32,6,2,
仪器仪表配件,20.51,18,11,
仰卧板/健腹板,54.477273,99,23,
仿古瓷,84,2,1,
仿真果蔬,11.62,6,5,
仿真绿植,24.428571,278,89,
仿真花,36.984,983,326,
仿真阳具,23.257143,106,40,
仿真食物与厨具,32.1,688,92,
企业人力资源/市场营销/职业规划,498,1,1,
企业经营与管理,26,6,5,
伏特加/Vodka,14.17,8,5,
休闲服,40.301802,2198,212,
休闲裤,51.027517,242294,31083,
休闲鞋,69.626606,116976,23216,
会计,54.260804,226,3,
会计/证券/经济/金融职称考试,62.525714,119,25,
会计/财经类,29.9,15,3,
会议大屏,2999.25,5,2,
传动件,20,29,26,
传媒出版,46.6,1,1,
传真/通信设备,136,11,10,
传输设备,97.75,2,1,
伦理学,10.916667,16,9,
伸展带/瑜伽绳,22.215532,317,14,
低/中频理疗仪,399,2,2,
低压电气,29,30,22,
低温烘焙类,44.477633,277,11,
低温牛奶,46.990553,2096,99,
低温糕点,26.602476,20360,792,
低温酸奶,32.049524,810,98,
体操道具,8.5,10,8,
体温计类,24.888462,101,19,
体育类期刊订阅,6.5,1,1,
体育运动,28.538012,1037,6,
体重秤,12.990952,219,57,
佛手,23.8625,18,7,
佛手瓜,11.9,20,7,
作业/错题打印机,83.9,7,5,
供油系统,39.15,7,7,
侦探推理/恐怖惊悚小说,22.8,38,26,
便利尿袋,40,1,1,
便厕用具,14.7,2,1,
便携/折叠餐具,12.860789,193,55,
便签,16.096632,1315,273,
便签盒座,7.8,1,1,
便隐血检测,10.8,3,2,
俄语,15.71,4,1,
保健/保暖护具,68,808,137,
保健型制氧机（非器械）,299,34,12,
保健机能食品,75.855,368,7,
保护器,615,9,4,
保护用品,33.9,33,22,
保护电器,33.06,4,4,
保暖内衣,34.182152,2074,758,
保暖贴,30.694925,1540,125,
保温壶,11.318905,1624,179,
保温杯,28.2996,4004,972,
保湿纸巾,8.158803,2445,46,
保险杠,170,11,11,
保险柜/保险箱/保管箱,185.333333,79,30,
保鲜盒,11.140185,3517,386,
保鲜膜,13.809137,1350,99,
保鲜袋,12.336066,3826,410,
保龄球挂件,12.996667,3,1,
信号灯/发光棒/救生灯,13.35,5,5,
信封,13.84,52,29,
信息与传播理论,28.283333,6,1,
信纸,14.55,79,27,
修正带,9.460086,1860,225,
修正液,8.513,45,10,
修甲工具,42.077662,613,67,
修眉刀,6.9,358,46,
修边机,228,9,5,
俯卧撑架,21.862963,251,19,
倒立凳,74.85,3,2,
倒立机,139.333333,5,2,
倒角机,13.350682,52,5,
倒车灯,39,1,1,
倒车雷达,37.38,3,3,
假发,8.978889,74,8,
假发配件,10.865734,849,69,
假山,14,23,12,
假睫毛,12.3725,26795,2076,
假睫毛辅助工具,16.66087,885,125,
假领,19.99,1,1,
停车号码牌,9.598696,481,188,
停车场控制机/道闸,42,1,1,
健步鞋,66.103115,712,231,
健腹轮/健腹器,60.235059,930,37,
健身,173.093969,1893,7,
健身健美,698,1,1,
健身器材套装,49.922959,103,4,
健身器械配件,28.36,43,28,
健身球/保健球,24.649,187,32,
健身踏板/韵律踏板,27.9,15,7,
健身锤/按摩捶,6.9,57,15,
储粮桶,6.723824,57,7,
儿科用药,6.18375,18,4,
儿科用药(Rx),80.25,4,1,
儿童/亲子/早教,299,80,17,
儿童乐器,38,299,70,
儿童书,37.4,217,51,
儿童书柜,84.5,8,5,
儿童书桌椅,47,19,3,
儿童内衣裤,29.185263,8907,2112,
儿童凳,23.70093,1080,74,
儿童口琴,39.9,7,5,
儿童口腔喷雾,19.9,2,2,
儿童口风琴,6.9,1,1,
儿童叶黄素,59.932876,216,9,
儿童吉他,16.25,6,2,
儿童坐便凳,42.198333,517,75,
儿童填色本,13.994396,980,171,
儿童奶粉,171.2055,310,63,
儿童学习桌,248.5,119,63,
儿童学步鞋,46.853077,6162,1707,
儿童床,341.947368,357,112,
儿童床头柜,19.175,8,3,
儿童座椅棚,66.466667,14,5,
儿童引水器,26.38,8,5,
儿童彩妆套装,80.075,4,2,
儿童成套家具,1733.33333,44,18,
儿童打击乐器,7.993333,5,2,
儿童护发喷雾/精油,13.95,46,3,
儿童护牙素,17.073333,16,2,
儿童抹胸/文胸,44.302483,1096,308,
儿童指甲油,41.18,33,3,
儿童摇铃,26.752632,24,2,
儿童文学,31.82318,5684,300,
儿童斗柜,65.0492,61,8,
儿童桌,179,5,4,
儿童桌面游戏类,12.649213,1199,155,
儿童椅,106.038431,558,59,
儿童沙发,44.346154,360,32,
儿童泡浴包,17.82,19,9,
儿童泳衣/裤,37,507,236,
儿童液态奶,1608,1,1,
儿童牵引绳,27.9,140,28,
儿童电动车,199,258,110,
儿童眼影,37.05,1,1,
儿童类期刊订阅,46,4,4,
儿童粉底/气垫,34.54,5,2,
儿童精华水,62.590492,433,8,
儿童肚兜/肚围/护脐带,14.267222,379,95,
儿童脸彩,79,1,1,
儿童衣柜,27.330667,125,14,
儿童袜子,14.885965,14173,2813,
儿童装饰手表,8.621957,320,49,
儿童读物原版书,9.276263,238,25,
儿童面膜,14.8,81,22,
儿童餐具,38.642,820,100,
儿童餐垫,9.836354,138,8,
充气娃娃,59.502222,22,6,
充气床,119,222,63,
充气沙发,27.176667,14,8,
充气装备,8.675,12,7,
充气设备,38.666667,7,5,
充电口防水/保护盖,9.9,264,99,
充电服务,72.227333,111,19,
充电电池,10.226965,1524,66,
兆欧表,189,1,1,
光伏设备,24.914286,10,2,
光源模组,16.181818,101,20,
光电器件,157.5,4,3,
光盘盒/CD包,11.779471,524,29,
光纤设备,207,38,22,
光驱/刻录/DVD,37.133333,5,2,
免洗洗发水/喷雾,7.480259,410,34,
免洗消毒喷雾/凝胶,30.716316,45,5,
免疫调节(Rx),24,1,1,
免钉胶,6.630125,384,20,
兔兔主粮,20.794167,140,37,
兔兔保健品,17.817647,62,7,
兔兔磨牙,11.89913,62,23,
兔兔零食,15.9,51,21,
兔子活体,29.392857,157,26,
兔类玩具,8.75,19,10,
兔肉类,75.5,39,8,
兔肉零食,50.37,210,45,
党参,62.161194,1341,42,
党政读物,66.9,3,3,
入侵检测设备,19.9,10,5,
全卫浴套装,542.666667,11,3,
全套勺铲,12.15,648,177,
全能综合饵料,9.425318,286,25,
八宝饭,18.585714,33,4,
公共休闲服务设施,900,1,1,
公共卫生服务设施,79.9,4,3,
公共英语/PET,287.381395,43,1,
公务员考试,25.865051,338,54,
公路电子收费/ETC/OBU,61.557576,61,7,
公道杯,29.75,226,79,
六角球/反应球,11.9,1,1,
兴趣/生活,39.9,786,53,
兵器,199,1,1,
其他,13.66,3371,827,
其他3C数码配件,16.030371,1543,113,
其他K金首饰,159.6,53,17,
其他一次性餐桌用品,10.513173,1358,276,
其他专业运动服,149.669201,424,48,
其他专业运动鞋,146.053617,1545,454,
其他个护健康电器,64.1375,424,76,
其他乐器配件,27.473684,194,94,
其他书法用品,31.9,174,76,
其他书籍/杂志/报纸,12.79,13,8,
其他乳制品,29.012889,345,45,
其他二手摄影/摄像设备,72,1,1,
其他二手智能设备,1299.99,1,1,
其他二手电玩及配件,165.33,23,13,
其他二手电脑组件,110,13,7,
其他五谷杂粮,20.248529,7625,419,
其他人物/传记,24.692857,70,29,
其他代用/花草/水果/再加工茶,23.222222,1538,178,
其他仪器仪表,12.5475,378,80,
其他低温乳制品,41.269167,1592,109,
其他体外检测,13.443032,5089,13,
其他保健食品,27.2985,19470,300,
其他假发,117.397,195,44,
其他健身器械,26.577778,92,30,
其他儿童家具,28.472785,447,71,
其他儿童读物,27.348708,2906,72,
其他儿童骑乘类玩具,37.861833,391,25,
其他光源,24.4355,30,10,
其他兑换提货卡券,14.447647,1175,151,
其他兔类食品/用品,19.3,177,80,
其他养护清洁剂,12.780732,109,14,
其他养生茶/养生饮,25.079926,775,126,
其他农机/农具,11.914442,1963,238,
其他农用物资,9.195563,3930,570,
其他冲饮谷物,27.847939,2044,135,
其他冷冻蟹类,186,1,1,
其他几类,24.525,10,3,
其他凳子,15.274965,1352,212,
其他刀具,9.358621,54,16,
其他办公用品,11.890585,1881,94,
其他办公用纸,42,169,88,
其他办公设备,9.397906,728,38,
其他办公设备耗材/配件,10.407407,140,27,
其他功能笔,13.985556,980,218,
其他化工材料制品,70.892857,28,11,
其他医学,29.749583,39,9,
其他医疗用品,10.317826,94,16,
其他升学考试,64.670923,1006,48,
其他南红饰品,78.540062,272,32,
其他卫浴用具,10.411571,2915,359,
其他厨房小工具,9.176983,6737,775,
其他厨房电器,23.575853,401,36,
其他厨房配用件,27.7,352,74,
其他口腔护理,35.599252,1694,120,
其他台案,138,2,2,
其他台球用品,19.496,327,31,
其他和田玉饰品,14.588182,18,4,
其他咖啡器具,11.387399,774,51,
其他哲学,34.476567,478,40,
其他商业/办公家具,100.01,111,81,
其他商用/清洗设备,300,32,26,
其他喂养用品,17.933333,57,27,
其他园艺种植设备,9.801147,740,113,
其他国家特色,117.625,12,4,
其他地板附件,18,9,7,
其他场馆设施,278,1,1,
其他垂钓装备及配件,11.677778,5821,1369,
其他培育宝石饰品,320,3,3,
其他外套,41.671333,57029,6729,
其他外语考试,24.685,58,4,
其他大型设施,137.777778,184,62,
其他大家电,520,1,1,
其他天然宝石,113.6,68,11,
其他天然玉石饰品,26.8,5,5,
其他天然皮草,1024.62857,171,67,
其他天然粉,37.091755,6119,252,
其他套装,51.803529,3975,1134,
其他奢品箱包,1690,2,1,
其他奢品配饰,286.8,1,1,
其他奢品鞋靴,3600,2,2,
其他婚庆用品,27.573333,755,299,
其他婴童床品,31.944592,921,192,
其他婴童洗护用品,18.062814,3289,315,
其他婴童零食,20.872836,1443,167,
其他孔雀石饰品,38.99,1,1,
其他孕产用品,25.038753,2700,156,
其他安全防护,14.797143,962,180,
其他实验室器材,28,3,3,
其他宠物周边,29.9,27,10,
其他宠物智能设备,127,16,8,
其他室内休闲用品,31.56,3,2,
其他家具五金,19.9,1238,533,
其他家务工具,12.16,984,107,
其他家居日用,16.637942,17969,1163,
其他家居饰品,25.8,1116,311,
其他家装建材,17.858865,1546,206,
其他小宠食品/用品,10.99,253,88,
其他小说,30.375006,2405,26,
其他尿裤,27.454839,792,126,
其他居家布艺,21.675,896,224,
其他岫玉饰品,32.933333,26,7,
其他工业品,857,3,1,
其他工业技术,17.51392,306,9,
其他工具,8.478095,170,40,
其他工具书,32.133443,223,5,
其他工具配件,15,559,126,
其他工艺品,15.083484,372,22,
其他巧克力制品,15.924596,4116,227,
其他帐篷,99.9,5,2,
其他干货,16.507801,7236,486,
其他床上用品,10.108333,36139,1015,
其他床垫,308.666667,21,15,
其他庭院户外家具,49.9,4,4,
其他彩妆用品,18.330769,3573,420,
其他影音电器,57.5,123,22,
其他影音设备,36.8,11,7,
其他影音设备配件,659,1,1,
其他情趣用品,18.745,167,102,
其他成人护理用品,23.92,99,32,
其他户外刀具/多用工具,9.010464,453,46,
其他户外照明设备及配件,37.123077,98,17,
其他户外装备,21.146587,1792,118,
其他手动工具,10.607222,2029,636,
其他手机配件,23.975109,1381,361,
其他打火机配件,17.42,52,27,
其他托帕石饰品,245,8,1,
其他摄影摄像及配件,16.7,279,60,
其他收纳整理工具,10.320833,4380,669,
其他收藏品,27,32,25,
其他政治军事,13.4,2,2,
其他教学实验/展示用品,35.548151,1474,146,
其他教育培训,23,6,1,
其他教育音像,55.9,10,9,
其他敷料,19.896296,212,25,
其他文具,17.253333,456,141,
其他文化,6.227059,30,10,
其他文学,24.185249,1161,112,
其他方便米线/米粉,28.106974,10580,364,
其他方便速食,14.8475,12710,820,
其他日常护理用品,9.570006,1864,39,
其他智能家居系统,15.04375,34,12,
其他月光石/天河石/长石饰品,42,3,2,
其他服务,29.7,2127,124,
其他服饰配件,14.8,3143,870,
其他本册纸签,12.247619,3799,891,
其他机械五金,11.449014,5147,637,
其他机电五金,13.126042,332,134,
其他材质包装,25.83,32,22,
其他板材,52.5,41,25,
其他极限运动用品,159.9,57,33,
其他架类,26.42,31,18,
其他柜子,149.5,28,23,
其他桌类,139.9,33,19,
其他梅花玉饰品,21.925,4,1,
其他棋牌麻将用品,40.961538,55,22,
其他椅子,55.055,522,145,
其他橄榄石饰品,17.3,6,1,
其他欧泊饰品,10.1,1,1,
其他民俗工艺/非遗,37.99875,235,72,
其他民族乐器,39.8,3,3,
其他民族打击乐器,7.42,1,1,
其他民族服装,82.048958,12683,1671,
其他民间运动用品,49.4,30,24,
其他水具,24.445192,5253,673,
其他水族食品/用品,21.22,1052,387,
其他水果,15.611761,270,19,
其他汽车内饰用品,16.8,4293,1570,
其他汽车外饰/加装品,16.275237,4542,621,
其他汽车服务,24,16,13,
其他汽车电子/电器,27.240562,310,102,
其他汽车防护用品,8.757788,2369,369,
其他汽车零配件,19.227273,983,504,
其他沉香制品,54.077619,62,14,
其他油漆及辅料,18.056923,186,59,
其他法律,15.8,15,6,
其他洋酒,105.8,1,1,
其他洗护美用具,19.27569,1775,276,
其他测量工具,13.98,428,125,
其他海产干货,54.546341,166,26,
其他海鲜水产制品,54.06,338,33,
其他消毒用品,11.220792,408,14,
其他消防器材,19.08,42,17,
其他液压起重工具,99,128,95,
其他清洁,13.215951,6752,183,
其他清洁电器,21.27105,309,14,
其他游泳装备,15.217647,206,53,
其他湿巾,6.319749,5355,16,
其他滋补养生原料,22.164615,837,276,
其他滋补营养品,25.714286,52,33,
其他滑雪装备,24.0625,56,10,
其他潜水装备,12.74491,254,51,
其他灭蝇用品,26.18,2,2,
其他灯具灯饰,31.11,58,34,
其他灵芝制品,24.57,1,1,
其他烘焙材料,15.068621,2069,249,
其他烘焙用具,23.784,129,29,
其他烧烤用具,25.307037,242,39,
其他照明系统,125,4,3,
其他爬宠鸣虫食品/用品,30,3,3,
其他特殊服装,49.9,399,151,
其他狗零食,50.355,71,15,
其他猫/狗日用品,14.794769,1483,188,
其他猫零食,16.66,753,61,
其他玛瑙玉髓饰品,5.998061,300,33,
其他玩具,17.516049,581,81,
其他玩具枪,26.281875,145,26,
其他环境电器,39.166667,66,22,
其他珠宝鉴定工具,45.9,7,7,
其他琥珀蜜蜡饰品,133.409417,228,37,
其他瑜伽用品,11.522222,118,26,
其他生活,5.08,5,3,
其他田径运动器材,9.76,5,2,
其他电动工具,26.69125,255,73,
其他电动车整车,1592,10,5,
其他电动车配件,28.768375,1505,309,
其他电器清洁用品,14.407451,453,12,
其他电器配件,9.490909,1586,476,
其他电子教育产品,127.2625,11,3,
其他电工配件,23,6,4,
其他电热设备,17.57,44,35,
其他电玩及配件,36.8,34,25,
其他电脑外设及配件,14.5,93,37,
其他画具画材,19.9,222,87,
其他畜牧/养殖设备,50.868571,39,19,
其他登山/攀岩/攀冰装备,35.37,67,26,
其他石材,554.334627,405,4,
其他石英质玉饰品,101.510448,218,16,
其他碧玺饰品,266,3,1,
其他社会科学,15.8,25,13,
其他科普读物,23.72,7,6,
其他窗,36.666667,6,4,
其他童装,35.415504,59640,10247,
其他笋制品,16.170917,1168,24,
其他管材,45.47,6,5,
其他管理,36.866667,22,5,
其他类报纸订阅,131.752393,291,10,
其他类期刊订阅,83.14,115,38,
其他类零食,10.124323,345,47,
其他糕点/点心,15.836901,32670,1282,
其他素食零食,12.025071,1391,93,
其他紧固件,10.8,169,90,
其他紫牙乌/石榴石饰品,81.346942,124,3,
其他紫砂,83.54,11,2,
其他纸品,9.075,2399,185,
其他组合家具,500.65,4,4,
其他经济,33.801639,169,28,
其他绘图计算用品,16.122222,29,11,
其他维修工具,35.567465,670,83,
其他维生素,196.8,25,9,
其他绿松石饰品,769.6297,970,7,
其他缝纫DIY配件及工具,11.8,1357,371,
其他罐头,72.131324,1384,92,
其他美容清洁用品,23.85,745,78,
其他美容维修/汽保工具,16.9,923,328,
其他羽毛球装备,54.624894,142,33,
其他肉类制品,50.423347,952,16,
其他肉类零食,22.48,1699,169,
其他胶粘剂,10.727259,1464,103,
其他脱水蔬菜,10.606061,3884,157,
其他膨化食品,9.9,3480,282,
其他自行车配件,10.5,13,10,
其他舒俱来饰品,979.02,2,2,
其他舞蹈配件,21.9,32,22,
其他艺术,28.444444,54,22,
其他节日装扮用品,13.88,1553,483,
其他花器,13.4,330,134,
其他茶具,41.2825,84,35,
其他药食同源食品,15.749032,965,138,
其他菌类干货,14.703747,1122,53,
其他菜类干货,19.181481,228,51,
其他菩提子,24.95,3075,244,
其他营养品,52.752609,329,45,
其他营养膳食,41.709324,9844,428,
其他蔬菜,23.968069,4325,364,
其他蛋类制品,17.477717,4724,27,
其他蜂制品,52.644948,181,15,
其他蜜饯果干,27.8,416,58,
其他螃蟹,183.8,5,3,
其他衣物清洁,6.498316,418,36,
其他装订用品,12.655789,383,75,
其他裤子,36,9059,1409,
其他西洋乐器,112.64,3,1,
其他计算机/网络书籍,11.328358,153,5,
其他训练辅助用具,18.121951,82,19,
其他调味品,17.269439,27102,1081,
其他豆制品,17.91,573,44,
其他财会用品,14.414286,165,36,
其他足金首饰,3733,7,6,
其他跆拳道/武术/搏击用品,26.4,31,17,
其他身体护理,44.698667,8895,143,
其他辅料配件,8.961795,1105,154,
其他辅食,56.253846,32,16,
其他运动休闲用品,16.455724,752,83,
其他运动护具,16.884211,816,226,
其他进口原版书(含港台),77.260238,475,8,
其他速食米线/米粉,13.073333,44,9,
其他部位肉,30.787645,17398,496,
其他酒具,13.652632,184,64,
其他钉,19.058462,166,79,
其他钟表类,59.971831,542,65,
其他钻石首饰,54.481481,30,2,
其他铂金首饰,3270,1,1,
其他银饰品,33.088235,975,136,
其他锅具,35.94,33,9,
其他锣镲,10.9,2,2,
其他防护/救生装备,22.769636,258,44,
其他防护用品,26.155953,4165,408,
其他阿胶制品,135.650562,253,13,
其他除臭喷雾/剂/除臭用品,27.425595,901,35,
其他除螨用品,21.233333,3,1,
其他陶瓷,72.861333,112,16,
其他雨具及配件,13.5125,306,92,
其他零食,16.998841,10506,1227,
其他青金石饰品,14.95,4,3,
其他面包,6.817882,9186,228,
其他面条,29.8,11,6,
其他面酱,33.735556,10,2,
其他鞋配件,8.943786,3946,582,
其他食品添加剂,11.9,393,74,
其他餐具,16.775,126,61,
其他饮料,38.812368,294,86,
其他饮用水,124.726818,84,11,
其他饰品,20.274699,457,32,
其他饼干,28.182353,523,31,
其他马术用品,88.88,8,7,
其他驱虫用品,12.405385,263,39,
其他驱蚊产品,38.787701,1115,89,
其他骑行装备,9.536923,3459,679,
其他高尔夫用品,15.696711,202,14,
其他鲜活海产,147.35,70,9,
其他鲜活蛋类,27.603675,422,13,
其他鸟类用品,29.032769,2431,281,
其他黑曜石饰品,15.3575,24,3,
养生丸,60.478974,256,40,
养生泡酒料,336.089474,24,4,
养生粉,100.563719,1614,23,
养生膏,115.342544,2914,105,
养肝护肝,75.9,2,2,
兽用非处方药,26.85,228,65,
内分泌用药,104.718427,346,21,
内分泌系统(Rx),79.3372,105,4,
内墙乳胶漆,33.308249,456,31,
内存,80.9,13,7,
内燃机,8,2,2,
内科学,5.817073,41,1,
