叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
桃干,14.911111,228,22,
桃胶,37.135128,246,26,
桃酥/核桃酥,11.948876,482,57,
桌上暖垫,22.9,6,6,
桌上足球台,9.27,1,1,
桌子配件,11.9,243,100,
桌布/桌旗/桌椅套/椅垫,21.6,2009,1094,
桌游卡牌,17.2,770,146,
桌面清洁套装,9.425,22,10,
桑叶,11.92,57,24,
桑叶茶,108.05831,532,9,
桑拿/足浴家具,47.8,6,5,
桑椹,72.316765,381,23,
桑椹干,17.550329,844,25,
桑葚,13.106479,1350,8,
桑黄,1082.83333,9,3,
桔梗,9.615625,25,8,
档案盒,19.631905,32,8,
档案袋,10.735,66,15,
桦树茸,69.6,1,1,
桨板,266.333333,4,2,
梅干菜,26.062201,320,6,
梅类制品,23.109678,8849,317,
梆子,77,1,1,
梨,11.634341,2594,77,
梭子蟹,58,1,1,
梳妆凳,90.333333,10,7,
梳妆台/桌,503.666667,79,41,
梳子,13.9175,3603,375,
梳篦,14.87,2,2,
检测试纸,61.577273,264,52,
棉柔巾,44.586591,2742,100,
棉柔巾/洗脸巾,17.917056,19370,465,
棉签/棉棒/棉包,9.566983,910,85,
